X,Y,Z,f=1/p
12.387713,1.419461,1.6302159,0
13.1969185,1.7977285,1.1274551,0
13.242406,2.1688137,1.0963318,0
12.878503,2.0658674,0.59117705,0
12.42602,1.6947823,-0.51489663,0
12.102816,1.3811554,-2.4996045,0
11.671878,1.3643966,-3.2058635,0
11.197846,1.2470858,-2.9544833,0
10.482011,1.1489277,-3.9935222,0
9.629711,0.6653198,-4.6303525,0
8.8229,0.078765616,-5.250424,0
8.619402,0.02130726,-4.625564,0
8.597856,-0.043333396,-3.8139648,0
9.067099,0.02130726,-4.0773153,0
9.656046,0.1410122,-4.6590815,0
10.316818,0.42830408,-4.5393767,0
11.135599,0.9334588,-5.7268496,0
11.695819,1.7689993,-10.151144,0
10.845914,1.7282996,-6.852076,0
10.7357855,1.7450584,-4.0557685,0
12.36856,2.2286663,-5.3150644,0
13.970212,2.7122743,-7.5726995,0
14.540009,2.9109845,-6.94784,0
13.800231,3.0091424,-3.7852354,0
12.842592,3.0785713,-1.9202325,0
12.038176,3.1025121,-1.3552253,0
11.73173,3.1384237,-1.592241,0
11.272063,2.755368,-1.0966626,0
10.23063,2.484835,0.10278088,0
9.454943,2.4082236,1.7738618,0
9.519584,2.1209316,2.3699925,0
9.718293,1.5104368,3.2127151,0
9.2945385,0.86403,4.3570943,0
8.607431,0.62222606,5.659484,0
8.971334,0.26550537,6.5429063,0
8.964152,-0.45990658,6.9570856,0
8.418298,-1.6354091,4.663539,0
7.4415054,-1.9083364,2.8631768,0
